tier,selector,transform,family,axis,window,weekday,station_set,days,score,hit_rate,hit_lift_pp,db_day_rate,db_day_lift_pp,stable_halves
WATCH,G2#2,P3P4,adjacent_pair,D-3,180,,Khánh Hòa|Đà Nẵng,26,35.31538461538461,0.5384615384615384,23.846153846153843,0.038461538461538464,1.8461538461538463,2
WATCH,DB#1,P4P2,pos_pair,D-2,180,1,ALL,26,35.19230769230769,0.5,19.576923076923077,0.07692307692307693,5.6923076923076925,2
WATCH,G2#1,P5P1,pos_pair,D-2,180,1,ALL,26,35.19230769230769,0.5,19.576923076923077,0.07692307692307693,5.6923076923076925,2
WATCH,G2#1,TAIL_HEAD,head_tail,D-2,180,1,ALL,26,35.19230769230769,0.5,19.576923076923077,0.07692307692307693,5.6923076923076925,2
WATCH,DB#1,P4P2,pos_pair,D-2,180,,Quảng Nam|Đắk Lắk,26,35.19230769230769,0.5,19.576923076923077,0.07692307692307693,5.6923076923076925,2
WATCH,G2#1,P5P1,pos_pair,D-2,180,,Quảng Nam|Đắk Lắk,26,35.19230769230769,0.5,19.576923076923077,0.07692307692307693,5.6923076923076925,2
WATCH,G2#1,TAIL_HEAD,head_tail,D-2,180,,Quảng Nam|Đắk Lắk,26,35.19230769230769,0.5,19.576923076923077,0.07692307692307693,5.6923076923076925,2
WATCH,G2#2,P4P1,pos_pair,D-3,180,6,ALL,24,34.716666666666676,0.5833333333333334,17.33333333333334,0.125,9.5,1
WATCH,G2#1,FIRST2_REV,head,D-1,180,5,ALL,26,33.789743589743594,0.5384615384615384,11.846153846153845,0.15384615384615385,12.384615384615385,2
WATCH,G2#1,P2P1,adjacent_pair,D-1,180,5,ALL,26,33.789743589743594,0.5384615384615384,11.846153846153845,0.15384615384615385,12.384615384615385,2
WATCH,G2#1,FIRST2_REV,head,D-1,180,,Quảng Ngãi|Đà Nẵng|Đắk Nông,26,33.789743589743594,0.5384615384615384,11.846153846153845,0.15384615384615385,12.384615384615385,2
WATCH,G2#1,P2P1,adjacent_pair,D-1,180,,Quảng Ngãi|Đà Nẵng|Đắk Nông,26,33.789743589743594,0.5384615384615384,11.846153846153845,0.15384615384615385,12.384615384615385,2
WATCH,G1#1,P4P1,pos_pair,D-1,180,1,ALL,25,33.57,0.44,13.600000000000001,0.12,10.0,2
WATCH,G1#1,P4P1,pos_pair,D-1,180,,Quảng Nam|Đắk Lắk,25,33.57,0.44,13.600000000000001,0.12,10.0,2
WATCH,G2#1,P5P2,pos_pair,D-1,180,4,ALL,25,33.562,0.52,21.52,0.04,2.08,2
WATCH,G2#2,P5P3,pos_pair,D-2,180,4,ALL,25,33.562,0.44,13.52,0.12,10.08,2
WATCH,G2#1,P5P2,pos_pair,D-1,180,,Gia Lai|Ninh Thuận,25,33.562,0.52,21.52,0.04,2.08,2
WATCH,G2#2,P5P3,pos_pair,D-2,180,,Gia Lai|Ninh Thuận,25,33.562,0.44,13.52,0.12,10.08,2
WATCH,G2#1,FIRST2,head,D-1,180,6,ALL,25,33.542,0.56,15.160000000000002,0.12,9.0,2
WATCH,G2#1,P1P2,adjacent_pair,D-1,180,6,ALL,25,33.542,0.56,15.160000000000002,0.12,9.0,2
WATCH,G2#2,P5P2,pos_pair,D-1,180,5,ALL,26,33.533333333333346,0.6153846153846154,19.538461538461544,0.07692307692307693,4.6923076923076925,2
WATCH,G2#2,P5P2,pos_pair,D-1,180,,Quảng Ngãi|Đà Nẵng|Đắk Nông,26,33.533333333333346,0.6153846153846154,19.538461538461544,0.07692307692307693,4.6923076923076925,2
