target_region,source_region,source_unit,source_prize,source_index,transform,axis,lag,window,days,h1_hits,h1_rate,h1_baseline,h1_lift_pp,h1_raw_p,h2_hits,h2_rate,h2_baseline,h2_lift_pp,h2_raw_p,score
MT,MT,Huế,G5,1,HEAD_TAIL,W-3,21,180,34,19,0.5588235294117647,0.36147058823529404,19.73529411764707,0.01331860885293189,2,0.058823529411764705,0.025294117647058835,3.352941176470587,0.242267576682422,23.75882352941177
MT,MT,Huế,G5,1,P1P4,W-3,21,180,34,19,0.5588235294117647,0.36147058823529404,19.73529411764707,0.01331860885293189,2,0.058823529411764705,0.025294117647058835,3.352941176470587,0.242267576682422,23.75882352941177
MN,MB,MB_BOARD,G2,2,P3P5,D-3,3,60,60,37,0.6166666666666667,0.4333333333333334,18.33333333333333,0.003114155785199903,4,0.06666666666666667,0.03150000000000002,3.5166666666666644,0.11702416527648819,23.553333333333327
MT,MB,MB_BOARD,G2,2,SECOND_HEAD_TAIL,W-1,7,60,60,34,0.5666666666666667,0.35566666666666685,21.09999999999998,0.0005203258527211258,2,0.03333333333333333,0.024500000000000015,0.8833333333333317,0.49000659267288155,23.15999999999998
MT,MB,MB_BOARD,G2,2,P2P5,W-1,7,60,60,34,0.5666666666666667,0.35566666666666685,21.09999999999998,0.0005203258527211258,2,0.03333333333333333,0.024500000000000015,0.8833333333333317,0.49000659267288155,23.15999999999998
MB,MT,Đà Nẵng,G2,1,HEAD_SECOND_LAST,D-1,1,180,51,22,0.43137254901960786,0.2366666666666668,19.470588235294105,0.000945904198905271,2,0.0392156862745098,0.009803921568627456,2.9411764705882346,0.07762969373213137,22.999999999999986
MN,MT,Khánh Hòa,DB,1,TAIL_HEAD,W-3,21,180,52,32,0.6153846153846154,0.4196153846153846,19.57692307692308,0.003262789429497122,3,0.057692307692307696,0.029423076923076944,2.8269230769230753,0.21301709869913088,22.96923076923077
MT,MB,MB_BOARD,G2,1,P4P1,D-1,1,90,90,45,0.5,0.35200000000000004,14.799999999999997,0.0023311236516621336,6,0.06666666666666667,0.024333333333333342,4.233333333333332,0.011774432580822808,22.879999999999995
MB,MT,Đà Nẵng,G5,1,P4P3,D-4,4,180,51,22,0.43137254901960786,0.2390196078431374,19.235294117647047,0.001118723197603147,2,0.0392156862745098,0.010000000000000004,2.9215686274509802,0.08177042584549207,22.741176470588222
MB,MT,Đà Nẵng,G5,1,LAST2_REV,D-4,4,180,51,22,0.43137254901960786,0.2390196078431374,19.235294117647047,0.001118723197603147,2,0.0392156862745098,0.010000000000000004,2.9215686274509802,0.08177042584549207,22.741176470588222
